mode: set
controllers/post.go:15.62,21.16 5 1
controllers/user.go:366.15,369.3 2 1
controllers/comment.go:13.69,19.15 5 1
controllers/comment.go:23.2,23.26 1 1
controllers/comment.go:27.2,42.50 12 1
controllers/comment.go:19.15,21.3 1 1
controllers/comment.go:23.26,25.3 1 1
controllers/comment.go:46.70,54.2 5 1
controllers/comment.go:56.67,61.16 4 1
controllers/comment.go:66.2,67.16 2 1
controllers/comment.go:73.2,75.11 3 1
controllers/comment.go:79.2,86.44 5 1
controllers/comment.go:61.16,64.3 2 1
controllers/comment.go:67.16,68.26 1 1
controllers/comment.go:68.26,70.4 1 1
controllers/comment.go:75.11,77.3 1 1
controllers/comment.go:89.69,94.16 4 1
controllers/comment.go:98.2,99.16 2 1
controllers/comment.go:105.2,107.12 3 1
controllers/comment.go:111.2,118.44 5 1
controllers/comment.go:94.16,96.3 1 1
controllers/comment.go:99.16,100.26 1 1
controllers/comment.go:100.26,102.4 1 1
controllers/comment.go:107.12,109.3 1 1
controllers/comment.go:121.78,125.15 3 1
controllers/comment.go:129.2,130.14 2 1
controllers/comment.go:125.15,128.3 2 1
controllers/comment.go:133.65,137.2 2 1
controllers/comment.go:139.86,143.18 4 1
controllers/comment.go:159.2,159.30 1 1
controllers/comment.go:165.2,165.17 1 1
controllers/comment.go:143.18,157.3 11 1
controllers/comment.go:159.30,164.3 4 1
